CODEPAGE 932            ; Japanese - ANSI, OEM
0xe8	0xe743
0xe9	0xe744
0xea	0xe745
0xeb	0xe746
0xec	0xe747
0xed	0xe748
0xee	0xe749
0xef	0xe74a
0xf0	0xe74b
0xf1	0xe74c
0xf2	0xe74d
0xf3	0xe74e
0xf4	0xe74f
0xf5	0xe750
0xf6	0xe751
0xf7	0xe752
0xf8	0xe753
0xf9	0xe754
0xfa	0xe755
0xfb	0xe756
0xfc	0xe757

DBCSTABLE 188           ;LeadByte = 0xfa

0x40	0x2170	;˙@ Small Roman Numeral 1
0x41	0x2171	;˙A Small Roman Numeral 2
0x42	0x2172	;˙B Small Roman Numeral 3
0x43	0x2173	;˙C Small Roman Numeral 4
0x44	0x2174	;˙D Small Roman Numeral 5
0x45	0x2175	;˙E Small Roman Numeral 6
0x46	0x2176	;˙F Small Roman Numeral 7
0x47	0x2177	;˙G Small Roman Numeral 8
0x48	0x2178	;˙H Small Roman Numeral 9
0x49	0x2179	;˙I Small Roman Numeral 10
0x4a	0x2160	;˙J Roman Numeral 1
0x4b	0x2161	;˙K Roman Numeral 2
0x4c	0x2162	;˙L Roman Numeral 3
0x4d	0x2163	;˙M Roman Numeral 4
0x4e	0x2164	;˙N Roman Numeral 5
0x4f	0x2165	;˙O Roman Numeral 6
0x50	0x2166	;˙P Roman Numeral 7
0x51	0x2167	;˙Q Roman Numeral 8
0x52	0x2168	;˙R Roman Numeral 9
0x53	0x2169	;˙S Roman Numeral 10
0x54	0xffe2	;˙T Fullwidth Not Sign
0x55	0xffe4	;˙U Fullwidth Broken Vertical Bar
0x56	0xff07	;˙V Fullwidth '
0x57	0xff02	;˙W Fullwidth "
0x58	0x3231	;˙X Parenthesized Ideograph Stock
0x59	0x2116	;˙Y Numero
0x5a	0x2121	;˙Z T E L Symbol
0x5b	0x2235	;˙[ Because
0x5c	0x7e8a	;˙\
0x5d	0x891c	;˙]
0x5e	0x9348	;˙^
0x5f	0x9288	;˙_
0x60	0x84dc	;˙`
0x61	0x4fc9	;˙a
0x62	0x70bb	;˙b
0x63	0x6631	;˙c
0x64	0x68c8	;˙d
0x65	0x92f9	;˙e
0x66	0x66fb	;˙f
0x67	0x5f45	;˙g
0x68	0x4e28	;˙h
0x69	0x4ee1	;˙i
0x6a	0x4efc	;˙j
0x6b	0x4f00	;˙k
0x6c	0x4f03	;˙l
0x6d	0x4f39	;˙m
0x6e	0x4f56	;˙n
0x6f	0x4f92	;˙o
0x70	0x4f8a	;˙p
0x71	0x4f9a	;˙q
0x72	0x4f94	;˙r
0x73	0x4fcd	;˙s
0x74	0x5040	;˙t
0x75	0x5022	;˙u
0x76	0x4fff	;˙v
0x77	0x501e	;˙w
0x78	0x5046	;˙x
0x79	0x5070	;˙y
0x7a	0x5042	;˙z
0x7b	0x5094	;˙{
0x7c	0x50f4	;˙|
0x7d	0x50d8	;˙}
0x7e	0x514a	;˙~
0x80	0x5164	;˙Ä
0x81	0x519d	;˙Å
0x82	0x51be	;˙Ç
0x83	0x51ec	;˙É
0x84	0x5215	;˙Ñ
0x85	0x529c	;˙Ö
0x86	0x52a6	;˙Ü
0x87	0x52c0	;˙á
0x88	0x52db	;˙à
0x89	0x5300	;˙â
0x8a	0x5307	;˙ä
0x8b	0x5324	;˙ã
0x8c	0x5372	;˙å
0x8d	0x5393	;˙ç
0x8e	0x53b2	;˙é
0x8f	0x53dd	;˙è
0x90	0xfa0e	;˙ê
0x91	0x549c	;˙ë
0x92	0x548a	;˙í
0x93	0x54a9	;˙ì
0x94	0x54ff	;˙î
0x95	0x5586	;˙ï
0x96	0x5759	;˙ñ
0x97	0x5765	;˙ó
0x98	0x57ac	;˙ò
0x99	0x57c8	;˙ô
0x9a	0x57c7	;˙ö
0x9b	0xfa0f	;˙õ
0x9c	0xfa10	;˙ú
0x9d	0x589e	;˙ù
0x9e	0x58b2	;˙û
0x9f	0x590b	;˙ü
0xa0	0x5953	;˙†
0xa1	0x595b	;˙°
0xa2	0x595d	;˙¢
0xa3	0x5963	;˙£
0xa4	0x59a4	;˙§
0xa5	0x59ba	;˙•
0xa6	0x5b56	;˙¶
0xa7	0x5bc0	;˙ß
0xa8	0x752f	;˙®
0xa9	0x5bd8	;˙©
0xaa	0x5bec	;˙™
0xab	0x5c1e	;˙´
0xac	0x5ca6	;˙¨
0xad	0x5cba	;˙≠
0xae	0x5cf5	;˙Æ
0xaf	0x5d27	;˙Ø
0xb0	0x5d53	;˙∞
0xb1	0xfa11	;˙±
0xb2	0x5d42	;˙≤
0xb3	0x5d6d	;˙≥
0xb4	0x5db8	;˙¥
0xb5	0x5db9	;˙µ
0xb6	0x5dd0	;˙∂
0xb7	0x5f21	;˙∑
0xb8	0x5f34	;˙∏
0xb9	0x5f67	;˙π
0xba	0x5fb7	;˙∫
0xbb	0x5fde	;˙ª
0xbc	0x605d	;˙º
0xbd	0x6085	;˙Ω
0xbe	0x608a	;˙æ
0xbf	0x60de	;˙ø
0xc0	0x60d5	;˙¿
0xc1	0x6120	;˙¡
0xc2	0x60f2	;˙¬
0xc3	0x6111	;˙√
0xc4	0x6137	;˙ƒ
0xc5	0x6130	;˙≈
0xc6	0x6198	;˙∆
0xc7	0x6213	;˙«
0xc8	0x62a6	;˙»
0xc9	0x63f5	;˙…
0xca	0x6460	;˙ 
0xcb	0x649d	;˙À
0xcc	0x64ce	;˙Ã
0xcd	0x654e	;˙Õ
0xce	0x6600	;˙Œ
0xcf	0x6615	;˙œ
0xd0	0x663b	;˙–
0xd1	0x6609	;˙—
0xd2	0x662e	;˙“
0xd3	0x661e	;˙”
0xd4	0x6624	;˙‘
0xd5	0x6665	;˙’
0xd6	0x6657	;˙÷
0xd7	0x6659	;˙◊
0xd8	0xfa12	;˙ÿ
0xd9	0x6673	;˙Ÿ
0xda	0x6699	;˙⁄
0xdb	0x66a0	;˙€
0xdc	0x66b2	;˙‹
0xdd	0x66bf	;˙›
0xde	0x66fa	;˙ﬁ
0xdf	0x670e	;˙ﬂ
0xe0	0xf929	;˙‡
0xe1	0x6766	;˙·
0xe2	0x67bb	;˙‚
0xe3	0x6852	;˙„
0xe4	0x67c0	;˙‰
0xe5	0x6801	;˙Â
0xe6	0x6844	;˙Ê
0xe7	0x68cf	;˙Á
0xe8	0xfa13	;˙Ë
0xe9	0x6968	;˙È
0xea	0xfa14	;˙Í
0xeb	0x6998	;˙Î
0xec	0x69e2	;˙Ï
0xed	0x6a30	;˙Ì
0xee	0x6a6b	;˙Ó
0xef	0x6a46	;˙Ô
0xf0	0x6a73	;˙
0xf1	0x6a7e	;˙Ò
0xf2	0x6ae2	;˙Ú
0xf3	0x6ae4	;˙Û
0xf4	0x6bd6	;˙Ù
0xf5	0x6c3f	;˙ı
0xf6	0x6c5c	;˙ˆ
0xf7	0x6c86	;˙˜
0xf8	0x6c6f	;˙¯
0xf9	0x6cda	;˙˘
0xfa	0x6d04	;˙˙
0xfb	0x6d87	;˙˚
0xfc	0x6d6f	;˙¸

DBCSTABLE 188           ;LeadByte = 0xfb

0x40	0x6d96	;˚@
0x41	0x6dac	;˚A
0x42	0x6dcf	;˚B
0x43	0x6df8	;˚C
0x44	0x6df2	;˚D
0x45	0x6dfc	;˚E
0x46	0x6e39	;˚F
0x47	0x6e5c	;˚G
0x48	0x6e27	;˚H
0x49	0x6e3c	;˚I
0x4a	0x6ebf	;˚J
0x4b	0x6f88	;˚K
0x4c	0x6fb5	;˚L
0x4d	0x6ff5	;˚M
0x4e	0x7005	;˚N
0x4f	0x7007	;˚O
0x50	0x7028	;˚P
0x51	0x7085	;˚Q
0x52	0x70ab	;˚R
0x53	0x710f	;˚S
0x54	0x7104	;˚T
0x55	0x715c	;˚U
0x56	0x7146	;˚V
0x57	0x7147	;˚W
0x58	0xfa15	;˚X
0x59	0x71c1	;˚Y
0x5a	0x71fe	;˚Z
0x5b	0x72b1	;˚[
0x5c	0x72be	;˚\
0x5d	0x7324	;˚]
0x5e	0xfa16	;˚^
0x5f	0x7377	;˚_
0x60	0x73bd	;˚`
0x61	0x73c9	;˚a
0x62	0x73d6	;˚b
0x63	0x73e3	;˚c
0x64	0x73d2	;˚d
0x65	0x7407	;˚e
0x66	0x73f5	;˚f
0x67	0x7426	;˚g
0x68	0x742a	;˚h
0x69	0x7429	;˚i
0x6a	0x742e	;˚j
0x6b	0x7462	;˚k
0x6c	0x7489	;˚l
0x6d	0x749f	;˚m
0x6e	0x7501	;˚n
0x6f	0x756f	;˚o
0x70	0x7682	;˚p
0x71	0x769c	;˚q
0x72	0x769e	;˚r
0x73	0x769b	;˚s
0x74	0x76a6	;˚t
0x75	0xfa17	;˚u
0x76	0x7746	;˚v
0x77	0x52af	;˚w
0x78	0x7821	;˚x
0x79	0x784e	;˚y
0x7a	0x7864	;˚z
0x7b	0x787a	;˚{
0x7c	0x7930	;˚|
0x7d	0xfa18	;˚}
0x7e	0xfa19	;˚~
0x80	0xfa1a	;˚Ä
0x81	0x7994	;˚Å
0x82	0xfa1b	;˚Ç
0x83	0x799b	;˚É
0x84	0x7ad1	;˚Ñ
0x85	0x7ae7	;˚Ö
0x86	0xfa1c	;˚Ü
0x87	0x7aeb	;˚á
0x88	0x7b9e	;˚à
0x89	0xfa1d	;˚â
0x8a	0x7d48	;˚ä
0x8b	0x7d5c	;˚ã
0x8c	0x7db7	;˚å
0x8d	0x7da0	;˚ç
0x8e	0x7dd6	;˚é
0x8f	0x7e52	;˚è
0x90	0x7f47	;˚ê
0x91	0x7fa1	;˚ë
0x92	0xfa1e	;˚í
0x93	0x8301	;˚ì
0x94	0x8362	;˚î
0x95	0x837f	;˚ï
0x96	0x83c7	;˚ñ
0x97	0x83f6	;˚ó
0x98	0x8448	;˚ò
0x99	0x84b4	;˚ô
0x9a	0x8553	;˚ö
0x9b	0x8559	;˚õ
0x9c	0x856b	;˚ú
0x9d	0xfa1f	;˚ù
0x9e	0x85b0	;˚û
0x9f	0xfa20	;˚ü
0xa0	0xfa21	;˚†
0xa1	0x8807	;˚°
0xa2	0x88f5	;˚¢
0xa3	0x8a12	;˚£
0xa4	0x8a37	;˚§
0xa5	0x8a79	;˚•
0xa6	0x8aa7	;˚¶
0xa7	0x8abe	;˚ß
0xa8	0x8adf	;˚®
0xa9	0xfa22	;˚©
0xaa	0x8af6	;˚™
0xab	0x8b53	;˚´
0xac	0x8b7f	;˚¨
0xad	0x8cf0	;˚≠
0xae	0x8cf4	;˚Æ
0xaf	0x8d12	;˚Ø
0xb0	0x8d76	;˚∞
0xb1	0xfa23	;˚±
0xb2	0x8ecf	;˚≤
0xb3	0xfa24	;˚≥
0xb4	0xfa25	;˚¥
0xb5	0x9067	;˚µ
0xb6	0x90de	;˚∂
0xb7	0xfa26	;˚∑
0xb8	0x9115	;˚∏
0xb9	0x9127	;˚π
0xba	0x91da	;˚∫
0xbb	0x91d7	;˚ª
0xbc	0x91de	;˚º
0xbd	0x91ed	;˚Ω
0xbe	0x91ee	;˚æ
0xbf	0x91e4	;˚ø
0xc0	0x91e5	;˚¿
0xc1	0x9206	;˚¡
0xc2	0x9210	;˚¬
0xc3	0x920a	;˚√
0xc4	0x923a	;˚ƒ
0xc5	0x9240	;˚≈
0xc6	0x923c	;˚∆
0xc7	0x924e	;˚«
0xc8	0x9259	;˚»
0xc9	0x9251	;˚…
0xca	0x9239	;˚ 
0xcb	0x9267	;˚À
0xcc	0x92a7	;˚Ã
0xcd	0x9277	;˚Õ
0xce	0x9278	;˚Œ
0xcf	0x92e7	;˚œ
0xd0	0x92d7	;˚–
0xd1	0x92d9	;˚—
0xd2	0x92d0	;˚“
0xd3	0xfa27	;˚”
0xd4	0x92d5	;˚‘
0xd5	0x92e0	;˚’
0xd6	0x92d3	;˚÷
0xd7	0x9325	;˚◊
0xd8	0x9321	;˚ÿ
0xd9	0x92fb	;˚Ÿ
0xda	0xfa28	;˚⁄
0xdb	0x931e	;˚€
0xdc	0x92ff	;˚‹
0xdd	0x931d	;˚›
0xde	0x9302	;˚ﬁ
0xdf	0x9370	;˚ﬂ
0xe0	0x9357	;˚‡
0xe1	0x93a4	;˚·
0xe2	0x93c6	;˚‚
0xe3	0x93de	;˚„
0xe4	0x93f8	;˚‰
0xe5	0x9431	;˚Â
0xe6	0x9445	;˚Ê
0xe7	0x9448	;˚Á
0xe8	0x9592	;˚Ë
0xe9	0xf9dc	;˚È
0xea	0xfa29	;˚Í
0xeb	0x969d	;˚Î
0xec	0x96af	;˚Ï
0xed	0x9733	;˚Ì
0xee	0x973b	;˚Ó
0xef	0x9743	;˚Ô
0xf0	0x974d	;˚
0xf1	0x974f	;˚Ò
0xf2	0x9751	;˚Ú
0xf3	0x9755	;˚Û
0xf4	0x9857	;˚Ù
0xf5	0x9865	;˚ı
0xf6	0xfa2a	;˚ˆ
0xf7	0xfa2b	;˚˜
0xf8	0x9927	;˚¯
0xf9	0xfa2c	;˚˘
0xfa	0x999e	;˚˙
0xfb	0x9a4e	;˚˚
0xfc	0x9ad9	;˚¸

DBCSTABLE 12            ;LeadByte = 0xfc

0x40	0x9adc	;¸@
0x41	0x9b75	;¸A
0x42	0x9b72	;¸B
0x43	0x9b8f	;¸C
0x44	0x9bb1	;¸D
0x45	0x9bbb	;¸E
0x46	0x9c00	;¸F
0x47	0x9d70	;¸G
0x48	0x9d6b	;¸H
0x49	0xfa2d	;¸I
0x4a	0x9e19	;¸J
0x4b	0x9ed1	;¸K


WCTABLE 9486

0x0000	0x0000	;   Null
0x0001	0x0001	;   Start Of Heading
0x0002	0x0002	;   Start Of Text
0x0003	0x0003	;   End Of Text
0x0004	0x0004	;   End Of Transmission
0x0005	0x0005	;   Enquiry
0x0006	0x0006	;   Acknowledge
0x0007	0x0007	;   Bell
0x0008	0x0008	;   Backspace
0x0009	0x0009	;   Horizontal Tabulation
0x000a	0x000a	;   Line Feed
0x000b	0x000b	;   Vertical Tabulation
0x000c	0x000c	;   Form Feed
0x000d	0x000d	;   Carriage Return
0x000e	0x000e	;   Shift Out
0x000f	0x000f	;   Shift In
0x0010	0x0010	;   Data Link Escape
0x0011	0x0011	;   Device Control 1
0x0012	0x0012	;   Device Control 2
0x0013	0x0013	;   Device Control 3
0x0014	0x0014	;   Device Control 4
0x0015	0x0015	;   Negative Acknowledge
0x0016	0x0016	;   Synchronous Idle
0x0017	0x0017	;   End Of Transmission Block
0x0018	0x0018	;   Cancel
0x0019	0x0019	;   End Of Medium
0x001a	0x001a	;   Substitute
0x001b	0x001b	;   Escape
0x001c	0x001c	;   File Separator
0x001d	0x001d	;   Group Separator
0x001e	0x001e	;   Record Separator
0x001f	0x001f	;   Unit Separator
0x0020	0x0020	;   Space
0x0021	0x0021	;   !
0x0022	0x0022	;   "
0x0023	0x0023	;   #
0x0024	0x0024	;   $
0x0025	0x0025	;   %
0x0026	0x0026	;   &
0x0027	0x0027	;   '
0x0028	0x0028	;   (
0x0029	0x0029	;   )
0x002a	0x002a	;   *
0x002b	0x002b	;   +
0x002c	0x002c	;   ,
0x002d	0x002d	;   -
0x002e	0x002e	;   .
0x002f	0x002f	;   /
0x0030	0x0030	;   0
0x0031	0x0031	;   1
0x0032	0x0032	;   2
0x0033	0x0033	;   3
0x0034	0x0034	;   4
0x0035	0x0035	;   5
0x0036	0x0036	;   6
0x0037	0x0037	;   7
0x0038	0x0038	;   8
0x0039	0x0039	;   9
0x003a	0x003a	;   :
0x003b	0x003b	;   ;
0x003c	0x003c	;   <
0x003d	0x003d	;   =
0x003e	0x003e	;   >
0x003f	0x003f	;   ?
0x0040	0x0040	;   @
0x0041	0x0041	;   A
0x0042	0x0042	;   B
0x0043	0x0043	;   C
0x0044	0x0044	;   D
0x0045	0x0045	;   E
0x0046	0x0046	;   F
0x0047	0x0047	;   G
0x0048	0x0048	;   H
0x0049	0x0049	;   I
0x004a	0x004a	;   J
0x004b	0x004b	;   K
0x004c	0x004c	;   L
0x004d	0x004d	;   M
0x004e	0x004e	;   N
0x004f	0x004f	;   O
0x0050	0x0050	;   P
0x0051	0x0051	;   Q
0x0052	0x0052	;   R
0x0053	0x0053	;   S
0x0054	0x0054	;   T
0x0055	0x0055	;   U
0x0056	0x0056	;   V
0x0057	0x0057	;   W
0x0058	0x0058	;   X
0x0059	0x0059	;   Y
0x005a	0x005a	;   Z
0x005b	0x005b	;   [
0x005c	0x005c	;   \ Yen Sign
0x005d	0x005d	;   ]
0x005e	0x005e	;   ^
0x005f	0x005f	;   _
0x0060	0x0060	;   `
0x0061	0x0061	;   a
0x0062	0x0062	;   b
0x0063	0x0063	;   c
0x0064	0x0064	;   d
0x0065	0x0065	;   e
0x0066	0x0066	;   f
0x0067	0x0067	;   g
0x0068	0x0068	;   h
0x0069	0x0069	;   i
0x006a	0x006a	;   j
0x006b	0x006b	;   k
0x006c	0x006c	;   l
0x006d	0x006d	;   m
0x006e	0x006e	;   n
0x006f	0x006f	;   o
0x0070	0x0070	;   p
0x0071	0x0071	;   q
0x0072	0x0072	;   r
0x0073	0x0073	;   s
0x0074	0x0074	;   t
0x0075	0x0075	;   u
0x0076	0x0076	;   v
0x0077	0x0077	;   w
0x0078	0x0078	;   x
0x0079	0x0079	;   y
0x007a	0x007a	;   z
0x007b	0x007b	;   {
0x007c	0x007c	;   |
0x007d	0x007d	;   }
0x007e	0x007e	;   ~
0x007f	0x007f	;   Delete
0x0080	0x0080	;   Control
0x00a1	0x0021	;   Inverted Exclamation Mark
0x00a2	0x8191	;Åë Cent Sign
0x00a3	0x8192	;Åí Pound Sign
0x00a5	0x005c	;   \ Yen Sign
0x00a6	0x007c	;   Broken Vertical Bar
0x00a7	0x8198	;Åò Section Sign
0x00a8	0x814e	;ÅN Spacing Diaeresis
0x00a9	0x0063	;   Copyright Sign
0x00aa	0x0061	;   Feminine Ordinal Indicator
0x00ab	0x81e1	;Å· Left Pointing Guillemet
0x00ac	0x81ca	;Å  Not Sign
0x00ad	0x002d	;   Soft Hyphen (>u2010)
0x00ae	0x0052	;   Registered Trade Mark Sign
0x00af	0x8150	;ÅP Spacing Macron
0x00b0	0x818b	;Åã Degree Sign
0x00b1	0x817d	;Å} Plus-Or-Minus Sign
0x00b2	0x0032	;   Superscript Digit Two
0x00b3	0x0033	;   Superscript Digit Three
0x00b4	0x814c	;ÅL Spacing Acute
0x00b5	0x83ca	;É  Micro Sign
0x00b6	0x81f7	;Å˜ Paragraph Sign
0x00b7	0x8145	;ÅE Middle Dot
0x00b8	0x8143	;ÅC Spacing Cedilla
0x00b9	0x0031	;   Superscript Digit One
0x00ba	0x006f	;   Masculine Ordinal Indicator
0x00bb	0x81e2	;Å‚ Right Pointing Guillemet
0x00bf	0x003f	;   Inverted Question Mark
0x00c0	0x0041	;   A Grave
0x00c1	0x0041	;   A Acute
0x00c2	0x0041	;   A Circumflex
0x00c3	0x0041	;   A Tilde
0x00c4	0x0041	;   A Diaeresis
0x00c5	0x0041	;   A Ring
0x00c6	0x0041	;   A E
0x00c7	0x0043	;   C Cedilla
0x00c8	0x0045	;   E Grave
0x00c9	0x0045	;   E Acute
0x00ca	0x0045	;   E Circumflex
0x00cb	0x0045	;   E Diaeresis
0x00cc	0x0049	;   I Grave
0x00cd	0x0049	;   I Acute
0x00ce	0x0049	;   I Circumflex
0x00cf	0x0049	;   I Diaeresis
0x00d0	0x0044	;   Eth
0x00d1	0x004e	;   N Tilde
0x00d2	0x004f	;   O Grave
0x00d3	0x004f	;   O Acute
0x00d4	0x004f	;   O Circumflex
0x00d5	0x004f	;   O Tilde
0x00d6	0x004f	;   O Diaeresis
0x00d7	0x817e	;Å~ Multiplication Sign
0x00d8	0x004f	;   O Slash
0x00d9	0x0055	;   U Grave
0x00da	0x0055	;   U Acute
0x00db	0x0055	;   U Circumflex
0x00dc	0x0055	;   U Diaeresis
0x00dd	0x0059	;   Y Acute
0x00de	0x0054	;   Thorn
0x00df	0x0073	;   Sharp s
0x00e0	0x0061	;   a Grave
0x00e1	0x0061	;   a Acute
0x00e2	0x0061	;   a Circumflex
0x00e3	0x0061	;   a Tilde
0x00e4	0x0061	;   a Diaeresis
0x00e5	0x0061	;   a Ring
0x00e6	0x0061	;   ae
0x00e7	0x0063	;   c Cedilla
0x00e8	0x0065	;   e Grave
0x00e9	0x0065	;   e Acute
0x00ea	0x0065	;   e Circumflex
0x00eb	0x0065	;   e Diaeresis
0x00ec	0x0069	;   i Grave
0x00ed	0x0069	;   i Acute
0x00ee	0x0069	;   i Circumflex
0x00ef	0x0069	;   i Diaeresis
0x00f0	0x0064	;   Small Eth
0x00f1	0x006e	;   n Tilde
0x00f2	0x006f	;   o Grave
0x00f3	0x006f	;   o Acute
0x00f4	0x006f	;   o Circumflex
0x00f5	0x006f	;   o Tilde
0x00f6	0x006f	;   o Diaeresis
0x00f7	0x8180	;ÅÄ Division Sign
0x00f8	0x006f	;   o Slash
0x00f9	0x0075	;   u Grave
0x00fa	0x0075	;   u Acute
0x00fb	0x0075	;   u Circumflex
0x00fc	0x0075	;   u Diaeresis
0x00fd	0x0079	;   y Acute
0x00fe	0x0074	;   Small Thorn
0x00ff	0x0079	;   y Diaeresis
0x0391	0x839f	;Éü Greek Capital Alpha
0x0392	0x83a0	;É† Greek Capital Beta
0x0393	0x83a1	;É° Greek Capital Gamma
0x0394	0x83a2	;É¢ Greek Capital Delta
0x0395	0x83a3	;É£ Greek Capital Epsilon
0x0396	0x83a4	;É§ Greek Capital Zeta
0x0397	0x83a5	;É• Greek Capital Eta
0x0398	0x83a6	;É¶ Greek Capital Theta
0x0399	0x83a7	;Éß Greek Capital Iota
0x039a	0x83a8	;É® Greek Capital Kappa
0x039b	0x83a9	;É© Greek Capital Lambda
0x039c	0x83aa	;É™ Greek Capital Mu
0x039d	0x83ab	;É´ Greek Capital Nu
0x039e	0x83ac	;É¨ Greek Capital Xi
0x039f	0x83ad	;É≠ Greek Capital Omicron
0x03a0	0x83ae	;ÉÆ Greek Capital Pi
0x03a1	0x83af	;ÉØ Greek Capital Rho
0x03a3	0x83b0	;É∞ Greek Capital Sigma
0x03a4	0x83b1	;É± Greek Capital Tau
0x03a5	0x83b2	;É≤ Greek Capital Upsilon
0x03a6	0x83b3	;É≥ Greek Capital Phi
0x03a7	0x83b4	;É¥ Greek Capital Chi
0x03a8	0x83b5	;Éµ Greek Capital Psi
0x03a9	0x83b6	;É∂ Greek Capital Omega
0x03b1	0x83bf	;Éø Greek Small Alpha
0x03b2	0x83c0	;É¿ Greek Small Beta
0x03b3	0x83c1	;É¡ Greek Small Gamma
0x03b4	0x83c2	;É¬ Greek Small Delta
0x03b5	0x83c3	;É√ Greek Small Epsilon
0x03b6	0x83c4	;Éƒ Greek Small Zeta
0x03b7	0x83c5	;É≈ Greek Small Eta
0x03b8	0x83c6	;É∆ Greek Small Theta
0x03b9	0x83c7	;É« Greek Small Iota
0x03ba	0x83c8	;É» Greek Small Kappa
0x03bb	0x83c9	;É… Greek Small Lambda
0x03bc	0x83ca	;É  Greek Small Mu
0x03bd	0x83cb	;ÉÀ Greek Small Nu
0x03be	0x83cc	;ÉÃ Greek Small Xi
0x03bf	0x83cd	;ÉÕ Greek Small Omicron
0x03c0	0x83ce	;ÉŒ Greek Small Pi
0x03c1	0x83cf	;Éœ Greek Small Rho
0x03c3	0x83d0	;É– Greek Small Sigma
0x03c4	0x83d1	;É— Greek Small Tau
0x03c5	0x83d2	;É“ Greek Small Upsilon
0x03c6	0x83d3	;É” Greek Small Phi
0x03c7	0x83d4	;É‘ Greek Small Chi
0x03c8	0x83d5	;É’ Greek Small Psi
0x03c9	0x83d6	;É÷ Greek Small Omega
0x0401	0x8446	;ÑF Cyrillic Capital Io
0x0410	0x8440	;Ñ@ Cyrillic Capital A
0x0411	0x8441	;ÑA Cyrillic Capital Be
0x0412	0x8442	;ÑB Cyrillic Capital Ve
0x0413	0x8443	;ÑC Cyrillic Capital Ge
0x0414	0x8444	;ÑD Cyrillic Capital De
0x0415	0x8445	;ÑE Cyrillic Capital Ie
0x0416	0x8447	;ÑG Cyrillic Capital Zhe
0x0417	0x8448	;ÑH Cyrillic Capital Ze
0x0418	0x8449	;ÑI Cyrillic Capital Ii
0x0419	0x844a	;ÑJ Cyrillic Capital Short Ii
0x041a	0x844b	;ÑK Cyrillic Capital Ka
0x041b	0x844c	;ÑL Cyrillic Capital El
0x041c	0x844d	;ÑM Cyrillic Capital Em
0x041d	0x844e	;ÑN Cyrillic Capital En
0x041e	0x844f	;ÑO Cyrillic Capital O
0x041f	0x8450	;ÑP Cyrillic Capital Pe
0x0420	0x8451	;ÑQ Cyrillic Capital Er
0x0421	0x8452	;ÑR Cyrillic Capital Es
0x0422	0x8453	;ÑS Cyrillic Capital Te
0x0423	0x8454	;ÑT Cyrillic Capital U
0x0424	0x8455	;ÑU Cyrillic Capital Ef
0x0425	0x8456	;ÑV Cyrillic Capital Kha
0x0426	0x8457	;ÑW Cyrillic Capital Tse
0x0427	0x8458	;ÑX Cyrillic Capital Che
0x0428	0x8459	;ÑY Cyrillic Capital Sha
0x0429	0x845a	;ÑZ Cyrillic Capital Shcha
0x042a	0x845b	;Ñ[ Cyrillic Capital Hard Sign
0x042b	0x845c	;Ñ\ Cyrillic Capital Yeri
0x042c	0x845d	;Ñ] Cyrillic Capital Soft Sign
0x042d	0x845e	;Ñ^ Cyrillic Capital Reversed E
0x042e	0x845f	;Ñ_ Cyrillic Capital Iu
0x042f	0x8460	;Ñ` Cyrillic Capital Ia
0x0430	0x8470	;Ñp Cyrillic Small A
0x0431	0x8471	;Ñq Cyrillic Small Be
0x0432	0x8472	;Ñr Cyrillic Small Ve
0x0433	0x8473	;Ñs Cyrillic Small Ge
0x0434	0x8474	;Ñt Cyrillic Small De
0x0435	0x8475	;Ñu Cyrillic Small Ie
0x0436	0x8477	;Ñw Cyrillic Small Zhe
0x0437	0x8478	;Ñx Cyrillic Small Ze
0x0438	0x8479	;Ñy Cyrillic Small Ii
0x0439	0x847a	;Ñz Cyrillic Small Short Ii
0x043a	0x847b	;Ñ{ Cyrillic Small Ka
0x043b	0x847c	;Ñ| Cyrillic Small El
0x043c	0x847d	;Ñ} Cyrillic Small Em
0x043d	0x847e	;Ñ~ Cyrillic Small En
0x043e	0x8480	;ÑÄ Cyrillic Small O
0x043f	0x8481	;ÑÅ Cyrillic Small Pe
0x0440	0x8482	;ÑÇ Cyrillic Small Er
0x0441	0x8483	;ÑÉ Cyrillic Small Es
0x0442	0x8484	;ÑÑ Cyrillic Small Te
0x0443	0x8485	;ÑÖ Cyrillic Small U
0x0444	0x8486	;ÑÜ Cyrillic Small Ef
0x0445	0x8487	;Ñá Cyrillic Small Kha
0x0446	0x8488	;Ñà Cyrillic Small Tse
0x0447	0x8489	;Ñâ Cyrillic Small Che
0x0448	0x848a	;Ñä Cyrillic Small Sha
0x0449	0x848b	;Ñã Cyrillic Small Shcha
0x044a	0x848c	;Ñå Cyrillic Small Hard Sign
0x044b	0x848d	;Ñç Cyrillic Small Yeri
0x044c	0x848e	;Ñé Cyrillic Small Soft Sign
0x044d	0x848f	;Ñè Cyrillic Small Reversed E
0x044e	0x8490	;Ñê Cyrillic Small Iu
0x044f	0x8491	;Ñë Cyrillic Small Ia
0x0451	0x8476	;Ñv Cyrillic Small Io
0x2010	0x815d	;Å] Hyphen
0x2015	0x815c	;Å\ Quotation Dash
0x2018	0x8165	;Åe Single Turned Comma Quotation Mark
0x2019	0x8166	;Åf Single Comma Quotation Mark
0x201c	0x8167	;Åg Double Turned Comma Quotation Mark
0x201d	0x8168	;Åh Double Comma Quotation Mark
0x2020	0x81f5	;Åı Dagger
0x2021	0x81f6	;Åˆ Double Dagger
0x2025	0x8164	;Åd Two Dot Leader
0x2026	0x8163	;Åc Horizontal Ellipsis
